emoji,name,group,exclude
😀,Grinning Face,Smileys & Emotion,
😃,Grinning Face with Big Eyes,Smileys & Emotion,
😄,Grinning Face with Smiling Eyes,Smileys & Emotion,
😁,Beaming Face with Smiling Eyes,Smileys & Emotion,
😆,Grinning Squinting Face,Smileys & Emotion,
😅,Grinning Face with Sweat,Smileys & Emotion,
🤣,Rolling on the Floor Laughing,Smileys & Emotion,
😂,Face with Tears of Joy,Smileys & Emotion,
🙂,Slightly Smiling Face,Smileys & Emotion,
🙃,Upside-Down Face,Smileys & Emotion,
😉,Winking Face,Smileys & Emotion,
😊,Smiling Face with Smiling Eyes,Smileys & Emotion,
😇,Smiling Face with Halo,Smileys & Emotion,
🥰,Smiling Face with Hearts,Smileys & Emotion,
😍,Smiling Face with Heart-Eyes,Smileys & Emotion,
🤩,Star-Struck,Smileys & Emotion,
😘,Face Blowing a Kiss,Smileys & Emotion,
😗,Kissing Face,Smileys & Emotion,
😚,Kissing Face with Closed Eyes,Smileys & Emotion,
😙,Kissing Face with Smiling Eyes,Smileys & Emotion,
😋,Face Savoring Food,Smileys & Emotion,
😛,Face with Tongue,Smileys & Emotion,
😜,Winking Face with Tongue,Smileys & Emotion,
🤪,Zany Face,Smileys & Emotion,
😝,Squinting Face with Tongue,Smileys & Emotion,
🤑,Money-Mouth Face,Smileys & Emotion,
🤗,Hugging Face,Smileys & Emotion,
🤭,Face with Hand Over Mouth,Smileys & Emotion,
🤫,Shushing Face,Smileys & Emotion,
🤔,Thinking Face,Smileys & Emotion,
🤐,Zipper-Mouth Face,Smileys & Emotion,
🤨,Face with Raised Eyebrow,Smileys & Emotion,
😐,Neutral Face,Smileys & Emotion,
😑,Expressionless Face,Smileys & Emotion,
😶,Face Without Mouth,Smileys & Emotion,
😏,Smirking Face,Smileys & Emotion,
😒,Unamused Face,Smileys & Emotion,
🙄,Face with Rolling Eyes,Smileys & Emotion,
😬,Grimacing Face,Smileys & Emotion,
🤥,Lying Face,Smileys & Emotion,
😌,Relieved Face,Smileys & Emotion,
😔,Pensive Face,Smileys & Emotion,
😪,Sleepy Face,Smileys & Emotion,
🤤,Drooling Face,Smileys & Emotion,
😴,Sleeping Face,Smileys & Emotion,
😷,Face with Medical Mask,Smileys & Emotion,
🤒,Face with Thermometer,Smileys & Emotion,
🤕,Face with Head-Bandage,Smileys & Emotion,
🤢,Nauseated Face,Smileys & Emotion,
🤮,Face Vomiting,Smileys & Emotion,
🤧,Sneezing Face,Smileys & Emotion,
🥵,Hot Face,Smileys & Emotion,
🥶,Cold Face,Smileys & Emotion,
😵,Dizzy Face,Smileys & Emotion,
🤯,Exploding Head,Smileys & Emotion,
🤠,Cowboy Hat Face,Smileys & Emotion,
🥳,Partying Face,Smileys & Emotion,
😎,Smiling Face with Sunglasses,Smileys & Emotion,
🤓,Nerd Face,Smileys & Emotion,
🧐,Face with Monocle,Smileys & Emotion,
😕,Confused Face,Smileys & Emotion,
😟,Worried Face,Smileys & Emotion,
🙁,Slightly Frowning Face,Smileys & Emotion,
☹️,Frowning Face,Smileys & Emotion,
😮,Face with Open Mouth,Smileys & Emotion,
😯,Hushed Face,Smileys & Emotion,
😲,Astonished Face,Smileys & Emotion,
😳,Flushed Face,Smileys & Emotion,
🥺,Pleading Face,Smileys & Emotion,
😦,Frowning Face with Open Mouth,Smileys & Emotion,
😧,Anguished Face,Smileys & Emotion,
😨,Fearful Face,Smileys & Emotion,
😰,Anxious Face with Sweat,Smileys & Emotion,
😥,Sad but Relieved Face,Smileys & Emotion,
😢,Crying Face,Smileys & Emotion,
😭,Loudly Crying Face,Smileys & Emotion,
😱,Face Screaming in Fear,Smileys & Emotion,
😖,Confounded Face,Smileys & Emotion,
😣,Persevering Face,Smileys & Emotion,
😞,Disappointed Face,Smileys & Emotion,
😓,Downcast Face with Sweat,Smileys & Emotion,
😩,Weary Face,Smileys & Emotion,
😫,Tired Face,Smileys & Emotion,
🥱,Yawning Face,Smileys & Emotion,
😤,Face with Steam From Nose,Smileys & Emotion,
😡,Pouting Face,Smileys & Emotion,
😠,Angry Face,Smileys & Emotion,
🤬,Face with Symbols on Mouth,Smileys & Emotion,
😈,Smiling Face with Horns,Smileys & Emotion,
👿,Angry Face with Horns,Smileys & Emotion,
💀,Skull,Smileys & Emotion,
☠️,Skull and Crossbones,Smileys & Emotion,
💩,Pile of Poo,Smileys & Emotion,
🤡,Clown Face,Smileys & Emotion,
👹,Ogre,Smileys & Emotion,
👺,Goblin,Smileys & Emotion,
👻,Ghost,Smileys & Emotion,
👽,Alien,Smileys & Emotion,
👾,Alien Monster,Smileys & Emotion,
🤖,Robot,Smileys & Emotion,
💌,Love Letter,Smileys & Emotion,
💘,Heart with Arrow,Smileys & Emotion,
💝,Heart with Ribbon,Smileys & Emotion,
💖,Sparkling Heart,Smileys & Emotion,
💗,Growing Heart,Smileys & Emotion,
💓,Beating Heart,Smileys & Emotion,
💞,Revolving Hearts,Smileys & Emotion,
💕,Two Hearts,Smileys & Emotion,
💟,Heart Decoration,Smileys & Emotion,
❣️,Heart Exclamation,Smileys & Emotion,
💔,Broken Heart,Smileys & Emotion,
❤️,Red Heart,Smileys & Emotion,
🧡,Orange Heart,Smileys & Emotion,
💛,Yellow Heart,Smileys & Emotion,
💚,Green Heart,Smileys & Emotion,
💙,Blue Heart,Smileys & Emotion,
💜,Purple Heart,Smileys & Emotion,
🤎,Brown Heart,Smileys & Emotion,
🖤,Black Heart,Smileys & Emotion,
🤍,White Heart,Smileys & Emotion,
💯,Hundred Points,Smileys & Emotion,
💢,Anger Symbol,Smileys & Emotion,
💥,Collision,Smileys & Emotion,
💫,Dizzy,Smileys & Emotion,
💦,Sweat Droplets,Smileys & Emotion,
💨,Dashing Away,Smileys & Emotion,
🕳️,Hole,Smileys & Emotion,
💬,Speech Balloon,Smileys & Emotion,
👁️‍🗨️,Eye in Speech Bubble,Smileys & Emotion,
🗨️,Left Speech Bubble,Smileys & Emotion,
🗯️,Right Anger Bubble,Smileys & Emotion,
💭,Thought Balloon,Smileys & Emotion,
💤,Zzz,Smileys & Emotion,
👋,Waving Hand,People & Body,
🤚,Raised Back of Hand,People & Body,
🖐️,Hand with Fingers Splayed,People & Body,
✋,Raised Hand,People & Body,
🖖,Vulcan Salute,People & Body,
👌,OK Hand,People & Body,
🤏,Pinching Hand,People & Body,
✌️,Victory Hand,People & Body,
🤞,Crossed Fingers,People & Body,
🤟,Love-You Gesture,People & Body,
🤘,Sign of the Horns,People & Body,
🤙,Call Me Hand,People & Body,
👈,Backhand Index Pointing Left,People & Body,
👉,Backhand Index Pointing Right,People & Body,
👆,Backhand Index Pointing Up,People & Body,
🖕,Middle Finger,People & Body,
👇,Backhand Index Pointing Down,People & Body,
☝️,Index Pointing Up,People & Body,
👍,Thumbs Up,People & Body,
👎,Thumbs Down,People & Body,
✊,Raised Fist,People & Body,
👊,Oncoming Fist,People & Body,
🤛,Left-Facing Fist,People & Body,
🤜,Right-Facing Fist,People & Body,
👏,Clapping Hands,People & Body,
🙌,Raising Hands,People & Body,
👐,Open Hands,People & Body,
🤲,Palms Up Together,People & Body,
🤝,Handshake,People & Body,
🙏,Folded Hands,People & Body,
✍️,Writing Hand,People & Body,
💅,Nail Polish,People & Body,
🤳,Selfie,People & Body,
💪,Flexed Biceps,People & Body,
🦾,Mechanical Arm,People & Body,
🦿,Mechanical Leg,People & Body,
🦵,Leg,People & Body,
🦶,Foot,People & Body,
👂,Ear,People & Body,
🦻,Ear with Hearing Aid,People & Body,
👃,Nose,People & Body,
🧠,Brain,People & Body,
🦷,Tooth,People & Body,
🦴,Bone,People & Body,
👀,Eyes,People & Body,
👁️,Eye,People & Body,
👅,Tongue,People & Body,
👄,Mouth,People & Body,
🤺,Person Fencing,People & Body,
⛷️,Skier,People & Body,
🏂,Snowboarder,People & Body,
🏋️,Person Lifting Weights,People & Body,
🤸,Person Cartwheeling,People & Body,
🤼,People Wrestling,People & Body,
🤽,Person Playing Water Polo,People & Body,
🤾,Person Playing Handball,People & Body,
🛀,Person Taking Bath,People & Body,
🛌,Person in Bed,People & Body,
🐵,Monkey Face,Animals & Nature,
🐒,Monkey,Animals & Nature,
🦍,Gorilla,Animals & Nature,
🦧,Orangutan,Animals & Nature,
🐶,Dog Face,Animals & Nature,
🐕,Dog,Animals & Nature,
🦮,Guide Dog,Animals & Nature,
🐩,Poodle,Animals & Nature,
🐺,Wolf,Animals & Nature,
🦊,Fox,Animals & Nature,
🦝,Raccoon,Animals & Nature,
🐱,Cat Face,Animals & Nature,
🐈,Cat,Animals & Nature,
🦁,Lion,Animals & Nature,
🐯,Tiger Face,Animals & Nature,
🐅,Tiger,Animals & Nature,
🐆,Leopard,Animals & Nature,
🐴,Horse Face,Animals & Nature,
🐎,Horse,Animals & Nature,
🦄,Unicorn,Animals & Nature,
🦓,Zebra,Animals & Nature,
🦌,Deer,Animals & Nature,
🐮,Cow Face,Animals & Nature,
🐂,Ox,Animals & Nature,
🐃,Water Buffalo,Animals & Nature,
🐄,Cow,Animals & Nature,
🐷,Pig Face,Animals & Nature,
🐖,Pig,Animals & Nature,
🐗,Boar,Animals & Nature,
🐽,Pig Nose,Animals & Nature,
🐏,Ram,Animals & Nature,
🐑,Ewe,Animals & Nature,
🐐,Goat,Animals & Nature,
🐪,Camel,Animals & Nature,
🐫,Two-Hump Camel,Animals & Nature,
🦙,Llama,Animals & Nature,
🦒,Giraffe,Animals & Nature,
🐘,Elephant,Animals & Nature,
🦏,Rhinoceros,Animals & Nature,
🦛,Hippopotamus,Animals & Nature,
🐭,Mouse Face,Animals & Nature,
🐁,Mouse,Animals & Nature,
🐀,Rat,Animals & Nature,
🐹,Hamster,Animals & Nature,
🐰,Rabbit Face,Animals & Nature,
🐇,Rabbit,Animals & Nature,
🐿️,Chipmunk,Animals & Nature,
🦔,Hedgehog,Animals & Nature,
🦇,Bat,Animals & Nature,
🐻,Bear,Animals & Nature,
🐨,Koala,Animals & Nature,
🐼,Panda,Animals & Nature,
🦥,Sloth,Animals & Nature,
🦦,Otter,Animals & Nature,
🦨,Skunk,Animals & Nature,
🦘,Kangaroo,Animals & Nature,
🦡,Badger,Animals & Nature,
🐾,Paw Prints,Animals & Nature,
🦃,Turkey,Animals & Nature,
🐔,Chicken,Animals & Nature,
🐓,Rooster,Animals & Nature,
🐣,Hatching Chick,Animals & Nature,
🐤,Baby Chick,Animals & Nature,
🐥,Front-Facing Baby Chick,Animals & Nature,
🐦,Bird,Animals & Nature,
🐧,Penguin,Animals & Nature,
🕊️,Dove,Animals & Nature,
🦅,Eagle,Animals & Nature,
🦆,Duck,Animals & Nature,
🦢,Swan,Animals & Nature,
🦉,Owl,Animals & Nature,
🦩,Flamingo,Animals & Nature,
🦚,Peacock,Animals & Nature,
🦜,Parrot,Animals & Nature,
🐸,Frog,Animals & Nature,
🐊,Crocodile,Animals & Nature,
🐢,Turtle,Animals & Nature,
🦎,Lizard,Animals & Nature,
🐍,Snake,Animals & Nature,
🐲,Dragon Face,Animals & Nature,
🐉,Dragon,Animals & Nature,
🦕,Sauropod,Animals & Nature,
🦖,T-Rex,Animals & Nature,
🐳,Spouting Whale,Animals & Nature,
🐋,Whale,Animals & Nature,
🐬,Dolphin,Animals & Nature,
🐟,Fish,Animals & Nature,
🐠,Tropical Fish,Animals & Nature,
🐡,Blowfish,Animals & Nature,
🦈,Shark,Animals & Nature,
🐙,Octopus,Animals & Nature,
🐚,Spiral Shell,Animals & Nature,
🦀,Crab,Animals & Nature,
🦞,Lobster,Animals & Nature,
🦐,Shrimp,Animals & Nature,
🦑,Squid,Animals & Nature,
🦪,Oyster,Animals & Nature,
🐌,Snail,Animals & Nature,
🦋,Butterfly,Animals & Nature,
🐛,Bug,Animals & Nature,
🐜,Ant,Animals & Nature,
🐝,Honeybee,Animals & Nature,
🐞,Lady Beetle,Animals & Nature,
🦗,Cricket,Animals & Nature,
🕷️,Spider,Animals & Nature,
🕸️,Spider Web,Animals & Nature,
🦂,Scorpion,Animals & Nature,
🦟,Mosquito,Animals & Nature,
🦠,Microbe,Animals & Nature,
💐,Bouquet,Animals & Nature,
🌸,Cherry Blossom,Animals & Nature,
💮,White Flower,Animals & Nature,
🏵️,Rosette,Animals & Nature,
🌹,Rose,Animals & Nature,
🥀,Wilted Flower,Animals & Nature,
🌺,Hibiscus,Animals & Nature,
🌻,Sunflower,Animals & Nature,
🌼,Blossom,Animals & Nature,
🌷,Tulip,Animals & Nature,
🌱,Seedling,Animals & Nature,
🌲,Evergreen Tree,Animals & Nature,
🌳,Deciduous Tree,Animals & Nature,
🌴,Palm Tree,Animals & Nature,
🌵,Cactus,Animals & Nature,
🌾,Sheaf of Rice,Animals & Nature,
🌿,Herb,Animals & Nature,
☘️,Shamrock,Animals & Nature,
🍀,Four Leaf Clover,Animals & Nature,
🍁,Maple Leaf,Animals & Nature,
🍂,Fallen Leaf,Animals & Nature,
🍃,Leaf Fluttering in Wind,Animals & Nature,
🍄,Mushroom,Animals & Nature,
🍇,Grapes,Food & Drink,
🍈,Melon,Food & Drink,
🍉,Watermelon,Food & Drink,
🍊,Tangerine,Food & Drink,
🍋,Lemon,Food & Drink,
🍌,Banana,Food & Drink,
🍍,Pineapple,Food & Drink,
🥭,Mango,Food & Drink,
🍎,Red Apple,Food & Drink,
🍏,Green Apple,Food & Drink,
🍐,Pear,Food & Drink,
🍑,Peach,Food & Drink,
🍒,Cherries,Food & Drink,
🍓,Strawberry,Food & Drink,
🥝,Kiwi Fruit,Food & Drink,
🍅,Tomato,Food & Drink,
🥥,Coconut,Food & Drink,
🥑,Avocado,Food & Drink,
🍆,Eggplant,Food & Drink,
🥔,Potato,Food & Drink,
🥕,Carrot,Food & Drink,
🌽,Ear of Corn,Food & Drink,
🌶️,Hot Pepper,Food & Drink,
🥒,Cucumber,Food & Drink,
🥬,Leafy Green,Food & Drink,
🥦,Broccoli,Food & Drink,
🧄,Garlic,Food & Drink,
🧅,Onion,Food & Drink,
🥜,Peanuts,Food & Drink,
🌰,Chestnut,Food & Drink,
🍞,Bread,Food & Drink,
🥐,Croissant,Food & Drink,
🥖,Baguette Bread,Food & Drink,
🥨,Pretzel,Food & Drink,
🥯,Bagel,Food & Drink,
🥞,Pancakes,Food & Drink,
🧇,Waffle,Food & Drink,
🧀,Cheese Wedge,Food & Drink,
🍖,Meat on Bone,Food & Drink,
🍗,Poultry Leg,Food & Drink,
🥩,Cut of Meat,Food & Drink,
🥓,Bacon,Food & Drink,
🍔,Hamburger,Food & Drink,
🍟,French Fries,Food & Drink,
🍕,Pizza,Food & Drink,
🌭,Hot Dog,Food & Drink,
🥪,Sandwich,Food & Drink,
🌮,Taco,Food & Drink,
🌯,Burrito,Food & Drink,
🥙,Stuffed Flatbread,Food & Drink,
🧆,Falafel,Food & Drink,
🥚,Egg,Food & Drink,
🍳,Cooking,Food & Drink,
🥘,Shallow Pan of Food,Food & Drink,
🍲,Pot of Food,Food & Drink,
🥣,Bowl with Spoon,Food & Drink,
🥗,Green Salad,Food & Drink,
🍿,Popcorn,Food & Drink,
🧈,Butter,Food & Drink,
🧂,Salt,Food & Drink,
🥫,Canned Food,Food & Drink,
🍱,Bento Box,Food & Drink,
🍘,Rice Cracker,Food & Drink,
🍙,Rice Ball,Food & Drink,
🍚,Cooked Rice,Food & Drink,
🍛,Curry Rice,Food & Drink,
🍜,Steaming Bowl,Food & Drink,
🍝,Spaghetti,Food & Drink,
🍠,Roasted Sweet Potato,Food & Drink,
🍢,Oden,Food & Drink,
🍣,Sushi,Food & Drink,
🍤,Fried Shrimp,Food & Drink,
🍥,Fish Cake with Swirl,Food & Drink,
🥮,Moon Cake,Food & Drink,
🍡,Dango,Food & Drink,
🥟,Dumpling,Food & Drink,
🥠,Fortune Cookie,Food & Drink,
🥡,Takeout Box,Food & Drink,
🍦,Soft Ice Cream,Food & Drink,
🍧,Shaved Ice,Food & Drink,
🍨,Ice Cream,Food & Drink,
🍩,Doughnut,Food & Drink,
🍪,Cookie,Food & Drink,
🎂,Birthday Cake,Food & Drink,
🍰,Shortcake,Food & Drink,
🧁,Cupcake,Food & Drink,
🥧,Pie,Food & Drink,
🍫,Chocolate Bar,Food & Drink,
🍬,Candy,Food & Drink,
🍭,Lollipop,Food & Drink,
🍮,Custard,Food & Drink,
🍯,Honey Pot,Food & Drink,
🍼,Baby Bottle,Food & Drink,
🥛,Glass of Milk,Food & Drink,
☕,Hot Beverage,Food & Drink,
🍵,Teacup Without Handle,Food & Drink,
🍶,Sake,Food & Drink,
🍾,Bottle with Popping Cork,Food & Drink,
🍷,Wine Glass,Food & Drink,
🍸,Cocktail Glass,Food & Drink,
🍹,Tropical Drink,Food & Drink,
🍺,Beer Mug,Food & Drink,
🍻,Clinking Beer Mugs,Food & Drink,
🥂,Clinking Glasses,Food & Drink,
🥃,Tumbler Glass,Food & Drink,
🥤,Cup with Straw,Food & Drink,
🧃,Beverage Box,Food & Drink,
🧉,Mate,Food & Drink,
🧊,Ice,Food & Drink,
🔪,Kitchen Knife,Food & Drink,
🏺,Amphora,Food & Drink,
🌍,Globe Showing Europe-Africa,Travel & Places,
🌎,Globe Showing Americas,Travel & Places,
🌏,Globe Showing Asia-Australia,Travel & Places,
🌐,Globe with Meridians,Travel & Places,
🗺️,World Map,Travel & Places,
🧭,Compass,Travel & Places,
🏔️,Snow-Capped Mountain,Travel & Places,
⛰️,Mountain,Travel & Places,
🌋,Volcano,Travel & Places,
🗻,Mount Fuji,Travel & Places,
🏕️,Camping,Travel & Places,
🏖️,Beach with Umbrella,Travel & Places,
🏜️,Desert,Travel & Places,
🏝️,Desert Island,Travel & Places,
🏟️,Stadium,Travel & Places,
🏛️,Classical Building,Travel & Places,
🏗️,Building Construction,Travel & Places,
🧱,Brick,Travel & Places,
🏘️,Houses,Travel & Places,
🏚️,Derelict House,Travel & Places,
🏠,House,Travel & Places,
🏡,House with Garden,Travel & Places,
🏢,Office Building,Travel & Places,
🏣,Japanese Post Office,Travel & Places,
🏤,Post Office,Travel & Places,
🏥,Hospital,Travel & Places,
🏦,Bank,Travel & Places,
🏨,Hotel,Travel & Places,
🏩,Love Hotel,Travel & Places,
🏪,Convenience Store,Travel & Places,
🏫,School,Travel & Places,
🏬,Department Store,Travel & Places,
🏭,Factory,Travel & Places,
🏯,Japanese Castle,Travel & Places,
🏰,Castle,Travel & Places,
💒,Wedding,Travel & Places,
🗼,Tokyo Tower,Travel & Places,
🗽,Statue of Liberty,Travel & Places,
⛪,Church,Travel & Places,
🕌,Mosque,Travel & Places,
🕍,Synagogue,Travel & Places,
⛩️,Shinto Shrine,Travel & Places,
🕋,Kaaba,Travel & Places,
⛲,Fountain,Travel & Places,
⛺,Tent,Travel & Places,
♨️,Hot Springs,Travel & Places,
🎠,Carousel Horse,Travel & Places,
🎡,Ferris Wheel,Travel & Places,
🎢,Roller Coaster,Travel & Places,
💈,Barber Pole,Travel & Places,
🎪,Circus Tent,Travel & Places,
🚂,Locomotive,Travel & Places,
🚃,Railway Car,Travel & Places,
🚄,High-Speed Train,Travel & Places,
🚅,Bullet Train,Travel & Places,
🚆,Train,Travel & Places,
🚇,Metro,Travel & Places,
🚈,Light Rail,Travel & Places,
🚉,Station,Travel & Places,
🚊,Tram,Travel & Places,
🚝,Monorail,Travel & Places,
🚞,Mountain Railway,Travel & Places,
🚋,Tram Car,Travel & Places,
🚌,Bus,Travel & Places,
🚍,Oncoming Bus,Travel & Places,
🚎,Trolleybus,Travel & Places,
🚐,Minibus,Travel & Places,
🚑,Ambulance,Travel & Places,
🚒,Fire Engine,Travel & Places,
🚓,Police Car,Travel & Places,
🚔,Oncoming Police Car,Travel & Places,
🚕,Taxi,Travel & Places,
🚖,Oncoming Taxi,Travel & Places,
🚗,Automobile,Travel & Places,
🚘,Oncoming Automobile,Travel & Places,
🚙,Sport Utility Vehicle,Travel & Places,
🚚,Delivery Truck,Travel & Places,
🚛,Articulated Lorry,Travel & Places,
🚜,Tractor,Travel & Places,
🏎️,Racing Car,Travel & Places,
🏍️,Motorcycle,Travel & Places,
🛵,Motor Scooter,Travel & Places,
🦽,Manual Wheelchair,Travel & Places,
🦼,Motorized Wheelchair,Travel & Places,
🛺,Auto Rickshaw,Travel & Places,
🚲,Bicycle,Travel & Places,
🛴,Kick Scooter,Travel & Places,
🛹,Skateboard,Travel & Places,
🛢️,Oil Drum,Travel & Places,
⛽,Fuel Pump,Travel & Places,
🚨,Police Car Light,Travel & Places,
🚥,Horizontal Traffic Light,Travel & Places,
🚦,Vertical Traffic Light,Travel & Places,
🛑,Stop Sign,Travel & Places,
🚧,Construction,Travel & Places,
⚓,Anchor,Travel & Places,
⛵,Sailboat,Travel & Places,
🛶,Canoe,Travel & Places,
🚤,Speedboat,Travel & Places,
🛳️,Passenger Ship,Travel & Places,
⛴️,Ferry,Travel & Places,
🛥️,Motor Boat,Travel & Places,
🚢,Ship,Travel & Places,
✈️,Airplane,Travel & Places,
🛩️,Small Airplane,Travel & Places,
🛫,Airplane Departure,Travel & Places,
🛬,Airplane Arrival,Travel & Places,
🪂,Parachute,Travel & Places,
💺,Seat,Travel & Places,
🚁,Helicopter,Travel & Places,
🚟,Suspension Railway,Travel & Places,
🚠,Mountain Cableway,Travel & Places,
🚡,Aerial Tramway,Travel & Places,
🛰️,Satellite,Travel & Places,
🛎️,Bellhop Bell,Travel & Places,
⌛,Hourglass Done,Travel & Places,
⏳,Hourglass Not Done,Travel & Places,
⌚,Watch,Travel & Places,
⏰,Alarm Clock,Travel & Places,
⏱️,Stopwatch,Travel & Places,
⏲️,Timer Clock,Travel & Places,
🕰️,Mantelpiece Clock,Travel & Places,
🌑,New Moon,Travel & Places,
🌒,Waxing Crescent Moon,Travel & Places,
🌓,First Quarter Moon,Travel & Places,
🌔,Waxing Gibbous Moon,Travel & Places,
🌕,Full Moon,Travel & Places,
🌖,Waning Gibbous Moon,Travel & Places,
🌗,Last Quarter Moon,Travel & Places,
🌘,Waning Crescent Moon,Travel & Places,
🌙,Crescent Moon,Travel & Places,
🌚,New Moon Face,Travel & Places,
🌛,First Quarter Moon Face,Travel & Places,
🌜,Last Quarter Moon Face,Travel & Places,
🌡️,Thermometer,Travel & Places,
☀️,Sun,Travel & Places,
🌝,Full Moon Face,Travel & Places,
🌞,Sun with Face,Travel & Places,
⭐,Star,Travel & Places,
🌟,Glowing Star,Travel & Places,
🌠,Shooting Star,Travel & Places,
☁️,Cloud,Travel & Places,
⛅,Sun Behind Cloud,Travel & Places,
⛈️,Cloud with Lightning and Rain,Travel & Places,
🌤️,Sun Behind Small Cloud,Travel & Places,
🌥️,Sun Behind Large Cloud,Travel & Places,
🌦️,Sun Behind Rain Cloud,Travel & Places,
🌧️,Cloud with Rain,Travel & Places,
🌨️,Cloud with Snow,Travel & Places,
🌩️,Cloud with Lightning,Travel & Places,
🌪️,Tornado,Travel & Places,
🌫️,Fog,Travel & Places,
🌬️,Wind Face,Travel & Places,
🌀,Cyclone,Travel & Places,
🌈,Rainbow,Travel & Places,
🌂,Closed Umbrella,Travel & Places,
☂️,Umbrella,Travel & Places,
☔,Umbrella with Rain Drops,Travel & Places,
⛱️,Umbrella on Ground,Travel & Places,
⚡,High Voltage,Travel & Places,
❄️,Snowflake,Travel & Places,
☃️,Snowman,Travel & Places,
⛄,Snowman Without Snow,Travel & Places,
☄️,Comet,Travel & Places,
🔥,Fire,Travel & Places,
💧,Droplet,Travel & Places,
🌊,Water Wave,Travel & Places,
🎃,Jack-O-Lantern,Activities,
🎄,Christmas Tree,Activities,
🎆,Fireworks,Activities,
🎇,Sparkler,Activities,
🧨,Firecracker,Activities,
✨,Sparkles,Activities,
🎈,Balloon,Activities,
🎉,Party Popper,Activities,
🎊,Confetti Ball,Activities,
🎋,Tanabata Tree,Activities,
